,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,generalisd,legend,Shape_Length,Shape_Area,MAT_nichefrac_2021,MTWM_nichefrac_2021,MTCM_nichefrac_2021,AP_nichefrac_2021,PDQ_nichefrac_2021
3119,Arthroleptis reichei,1,1,1,Lucy Coals,2014,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),12.7001749277522,0.8985038485773942,1.0,1.0,1.0,0.9412884102064185,0.8822278170434534
3120,Pristimantis croceoinguinis,1,1,1,"Diego Cisneros-Heredia, Nicole Acosta and Kelsey Neam",2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),49.46536807239192,12.181607355307115,0.9744496652177431,0.9744496652177431,0.970797834742871,1.0,1.0
3121,Hyloxalus leucophaeus,1,1,1,Kelsey Neam,2018,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),0.10831636851734247,0.0009336051885628216,1.0,1.0,1.0,1.0,1.0
3122,Aphantophryne minuta,1,1,1,IUCN,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),0.31900304607795754,0.004192006245782927,1.0,1.0,1.0,1.0,1.0
3123,Hyloscirtus bogotensis,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),5.4530205313606555,1.1898816917168753,1.0,1.0,1.0,0.9723104391332473,0.9723104391332473
3124,Sphenophryne rhododactyla,1,1,1,Lauren Warr,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),16.691464410080126,0.3432763502795569,1.0,1.0,1.0,1.0,0.9000088404166698
3125,Pristimantis pleurostriatus,1,1,1,Grisel Velasquez,2020,Grisel Velasquez and Margarita Lampo,0,Extant (resident),0.5858118904323848,0.007095610694081522,1.0,1.0,1.0,1.0,1.0
3126,Limnonectes fragilis,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),4.713097496065341,1.2378453753818486,1.0,1.0,1.0,1.0,1.0
3127,Microcaecilia pricei,1,1,1,Erin McGrew,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),3.55828419281122,0.2684691922253095,1.0,1.0,1.0,0.9443497389482666,0.9443497389482666
3128,Microhyla zeylanica,1,1,1,Lauren Warr,2020,IUCN (International Union for Conservation of Nature) and Conservation International,0,Extant (resident),0.6834718885217022,0.023441079671286412,0.7500657617996835,0.7500657617996835,0.7500657617996835,1.0,1.0
3129,Staurois guttatus,1,1,1,Kelsey Neam,2008,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),27.636690059939337,11.356620379728383,0.9765774433372937,0.9765339855902195,1.0,0.9687039246852527,0.9765240435925039
3130,Staurois guttatus,1,1,1,Kelsey Neam,2018,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),6.5692402205058595,0.3507192644561384,1.0,1.0,1.0,1.0,1.0
3131,Spinomantis brunae,1,1,1,IUCN,2015,International Union for Conservation of Nature (IUCN),0,Extant (resident),2.0153932891411164,0.11945602926404189,1.0,1.0,1.0,1.0,1.0
3132,Pseudophilautus samarakoon,1,1,1,Sean Lyon,2019,IUCN (International Union for Conservation of Nature) and Conservation International,0,Extant (resident),0.10119056984843983,0.0008148058337525142,1.0,1.0,1.0,0.0,0.0
3133,Arthroleptides yakusini,1,1,1,Evie J Morris,2013,IUCN (International Union for Conservation of Nature) and Conservation International,0,Extant (resident),5.53522248422622,0.25525527660089625,1.0,1.0,1.0,0.9048141475191079,0.9046704425524786
3134,Atelopus carbonerensis,4,1,1,Kelsey Neam,2020,IUCN (International Union for Conservation of Nature),0,Possibly Extinct,0.44147690747606194,0.011736976051798858,1.0,1.0,1.0,1.0,1.0
3135,Arthroleptis xenochirus,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),42.124307482199136,86.3708766727176,0.9919349081006451,0.9919298735608851,0.9959531974357553,0.991896608559592,0.9952712040071207
3136,Pristimantis nebulosus,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.3566918602570275,0.010124311734758487,1.0,1.0,1.0,1.0,1.0
3137,Lithobates warszewitschii,1,1,1,Kelsey Neam,2019,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),44.004421571784476,12.927794597327287,0.9346148761624645,0.9277289276641015,0.9313254750664667,0.9379871600553511,0.9001126118779976
3138,Lithobates warszewitschii,5,1,1,IUCN,2019,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extinct,1.3020664898783365,0.09979417015797336,1.0,1.0,1.0,1.0,1.0
3139,Philautus everetti,1,1,1,Kelsey Neam,2017,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),3.1197327559442063,0.20049716058292583,1.0,1.0,1.0,1.0,0.7853203116860363
3140,Telmatobius yuracare,4,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Possibly Extinct,3.383656237692071,0.17793902484632912,1.0,1.0,1.0,0.9165161930216772,0.9165161930216772
3141,Telmatobius yuracare,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.3436948343501219,0.008307231644207552,1.0,1.0,1.0,1.0,1.0
3142,Hynobius fucus,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),1.6053137697877622,0.13928113622200922,1.0,1.0,1.0,1.0,1.0
3143,Probreviceps macrodactylus,1,1,1,Evie J Morris,2013,IUCN (International Union for Conservation of Nature) and Conservation International.,0,Extant (resident),2.2182659674293475,0.07053886960859689,1.0,1.0,1.0,1.0,1.0
3144,Litoria lutea,1,1,1,Lauren Warr,2020,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),31.558397429606586,1.8525098007245622,0.850580793226485,0.8849890853023752,0.850580793226485,0.9654961856904004,0.9425427755167033
3145,Arthroleptis adelphus,1,1,1,IUCN,2014,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),33.7471682533506,38.37124652247575,1.0,1.0,1.0,0.965362209242976,0.9696406532129911
3146,Craugastor aurilegulus,1,1,1,Louise Hobin,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),5.146457510406003,0.09539580339118568,1.0,1.0,1.0,1.0,1.0
3147,Craugastor aurilegulus,4,1,1,Louise Hobin,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Possibly Extinct,2.184366575253502,0.04558327538130722,1.0,1.0,1.0,1.0,1.0
3148,Ingerana reticulata,1,1,1,Lauren Warr,2019,IUCN (International Union for Conservation of Nature) and Conservation International,0,Extant (resident),0.1076882956746618,0.0009228093440786965,1.0,1.0,1.0,1.0,1.0
3149,Hynobius oyamai,1,1,1,Janice Chanson,2020,IUCN (International Union for Conservation of Nature).,0,Extant (resident),3.590079795016892,0.5428811116143666,1.0,1.0,1.0,1.0,1.0
3150,Pachytriton moi,1,1,1,Xie Feng,2014,IUCN,0,Extant (resident),2.4659937815356607,0.12269601858098697,1.0,1.0,1.0,1.0,1.0
3151,Atelopus eusebianus,6,1,1,Louise Hobin,2016,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Presence Uncertain,0.10154753667928584,0.00082056470403346,1.0,1.0,1.0,1.0,1.0
