,Unnamed: 0,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,generalisd,legend,Shape_Length,Shape_Area,urbanareas_2021,cropland_2021,rangeland_2021,managed_pasture_2021,urbanareas_2004,cropland_2004,rangeland_2004,managed_pasture_2004
0,0,Agalychnis medinae,4,1,1,Grisel Velasquez,2020,IUCN (International Union for Conservation of Nature).,0,Possibly Extinct,0.3705999504687024,0.0026276571338072,0.1098856404423713,0.0414850786328315,0.000783955969382,0.1584939658641815,0.08356950432062149,0.0443742610514164,0.0007897684117779136,0.16063246130943298
1,1,Agalychnis medinae,1,1,1,Grisel Velasquez,2020,IUCN (International Union for Conservation of Nature).,0,Extant (resident),12.037777860003189,0.0524027006449431,0.0481767846892277,0.0636257603764534,0.0253044725395739,0.1550696045160293,0.036654939875006676,0.06367218494415283,0.0261850372577707,0.1545764058828354
2,2,Telmatobius mendelsoni,4,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Possibly Extinct,0.4977843861573213,0.0104779105201762,0.0022184341915532,0.0578090081973325,0.010951698553441,0.338603618770996,0.0017773928089180172,0.04383585861035927,0.010271351275797905,0.3174839295475436
3,3,Thorius omiltemi,1,1,1,Lauren Warr,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.8425792404085658,0.0101353380945449,0.0106578506529331,0.0813060849905014,0.0159904509782791,0.2484731376171112,0.007946274243295193,0.09288787096738815,0.015783214941620827,0.24523216485977173
4,4,Ptychadena perplicata,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),35.86474781150094,55.70823737902021,0.0011201700908247,0.0223202300139491,0.0918882738045421,0.1106777797820174,0.0006192572674368807,0.017355820824364366,0.10237804616196265,0.10011129670433663
5,5,Telmatobius hauthali,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.3923971564474438,0.0090830711691837,1.4696604921482503e-05,6.346507871057838e-05,0.2462904304265976,0.0,1.5901377992122434e-05,4.115741467103362e-05,0.20295339822769165,0.0
6,6,Plectrohyla pycnochila,4,1,1,IUCN & Paulina Arias Caballero-CONABIO,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe, CONABIO (Comisión Nacional para el Conocimiento y Uso de la Biodiversidad)",0,Possibly Extinct,0.1772934230838644,0.0025012918137178,0.0190278855837319,0.206195487959813,2.806639823816092e-09,0.1079955295482108,0.014972557663192684,0.23518341667611709,1.083982269884248e-09,0.10655271034358645
7,7,Cardioglossa nigromaculata,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),9.694854185174158,3.2299451992632986,0.0044639135569512,0.1214086589607385,0.0027208680488135,0.0417369606450814,0.002661526975885865,0.11274421290917451,0.003704265786039357,0.04073667068841726
8,8,Andinobates bombetes,1,1,1,IUCN,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),2.014825714972617,0.0430283606073962,0.0090104618709253,0.0785556165997673,0.0215173966495371,0.3315361549194556,0.006869320897394585,0.07670653251701832,0.02116785025301946,0.28202422291057727
9,9,Andinobates bombetes,1,1,1,Louise Hobin,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.4061669963173752,0.0034043116422852,0.0044355377288396,0.0721248042967873,0.0179902041528965,0.406228648904106,0.0033031945994944825,0.06987830013618407,0.015655849836316543,0.3469785927840324
10,10,Kassina cassinoides,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),66.30043032930561,131.89128981108897,0.0038454084569646,0.291774635761554,0.1368644751737043,0.2522532526526646,0.002250802238209599,0.2537480960688939,0.14984706712997575,0.2412953913167601
11,11,Oreophryne sibilans,1,1,1,IUCN,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),0.0525066939383562,0.0002193040000003,0.0,2.6351211661940505e-21,0.0,0.0,0.0,2.635121570090834e-21,0.0,0.0
12,12,Niceforonia fallaciosa,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.5305860451493744,0.0122943431502213,0.0,0.0021266997791826,2.9106489440877676e-10,0.0140884835273027,0.0,0.0016379269072785974,1.3573738215200137e-05,0.013220449909567833
13,13,Niceforonia fallaciosa,1,1,1,Steve Best,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.2646021037282616,0.0055714174075928,0.002313052304089,0.0835745334625244,3.1342368700393312e-09,0.0866897478699684,0.0017896287608891726,0.06265446543693542,2.781903873927405e-11,0.08130209892988205
14,14,Craugastor xucanebi,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),7.145242874634042,0.8142920378816364,0.0117901719328667,0.115035152578215,0.0003624167096021,0.1165199578337026,0.007379496711007239,0.1395993859051605,0.0008333479232040651,0.1387494240047554
15,15,Sclerophrys regularis,1,1,1,IUCN,2014,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),282.3394545423843,616.479039806591,0.0040013621578225,0.1987969391159607,0.1599426524678335,0.1742258389026951,0.0025355746788502773,0.16962797025788726,0.16993042260898233,0.16489102032591912
