Species
Ranitomeya rubrocephala
Ranitomeya Summersi
Ranitomeya tolimensis
Ranitomeya viridis
Ranitomeya virolinensis
Hyloxalus peruvianus
Hyloxalus whymperi
Euphlyctis mudigere
Fejervarya andamanensis
Fejervarya brevipalmata
Fejervarya caperata
Fejervarya granosa
Fejervarya greenii
Fejervarya keralensis
Fejervarya kirtisinghei
Fejervarya kudremukhensis
Fejervarya mudduraja
Fejervarya murthii
Fejervarya mysorensis
Fejervarya nepalensis
Fejervarya nicobariensis
Fejervarya nilagirica
Fejervarya parambikulamana
Fejervarya pierrei
Fejervarya rufescens
Fejervarya sauriceps
Fejervarya schlueteri
Fejervarya syhadrensis
Fejervarya teraiensis
Limnonectes heinrichi
Limnonectes laticeps
Limnonectes rhacoda
Limnonectes timorensis
Nanorana bourreti
Nanorana delacouri
Ingerana alpina
Ingerana liui
Ingerana mariae
Ingerana medogensis
Ingerana sariba
Ingerana tasanae
Ingerana xizangensis
Occidozyga vittata
Eleutherodactylus nivicolimae
Heleophryne depressa
Flectonotus fissilis
Flectonotus goeldii
Flectonotus ohausi
Hyla helenae
Hyla warreni
Anotheca spinosa
Aparasphenodon arapapa
Aparasphenodon bokermanni
Aparasphenodon brunoi
Aparasphenodon venezolanus
Aplastodiscus callipygius
Argenteohyla siemersi
Bokermannohyla claresignata
Bokermannohyla clepsydra
Bokermannohyla feioi
Bokermannohyla Izecksohni
Dendropsophus allenorum
Dendropsophus coffeus
Dendropsophus labialis
Dendropsophus pelidna
Diaglena spatulata
Ecnomiohyla miotympanum
Ecnomiohyla tuberculosa
Exerodonta juanitae
Exerodonta pinorum
Hyla andersonii
Hyla arboricola
Hyla arenicolor
Hyla avivoca
Hyla bocourti
Hyla chrysoscelis
Hyla cinerea
Hyla euphorbiacea
Hyla eximia
Hyla femoralis
Hyla gratiosa
Hyla heinzsteinitzi
Hyla immaculata
Hyla japonica
Hyla plicata
Hyla squirella
Hyla suweonensis
Hyla versicolor
Hyla walkeri
Hyla wrightorum
Hyloscirtus estevesi
Hypsiboas aguilari
Hypsiboas albomarginatus
Hypsiboas alboniger
Hypsiboas albopunctatus
Hypsiboas alemani
Hypsiboas angelicus
Hypsiboas atlanticus
Hypsiboas balzani
Hypsiboas beckeri
Hypsiboas benitezi
Hypsiboas bischoffi
Hypsiboas boans
Hypsiboas botumirim
Hypsiboas buriti
Hypsiboas caingua
Hypsiboas caipora
Hypsiboas calcaratus
Hypsiboas callipleura
Hypsiboas cinerascens
Hypsiboas cipoensis
Hypsiboas cordobae
Hypsiboas crepitans
Hypsiboas curupi
Hypsiboas cymbalum
Hypsiboas dentei
Hypsiboas ericae
Hypsiboas exastis
Hypsiboas faber
Hypsiboas fasciatus
Hypsiboas freicanecae
Hypsiboas fuentei
Hypsiboas geographicus
Hypsiboas gladiator
Hypsiboas goianus
Hypsiboas guentheri
Hypsiboas heilprini
Hypsiboas hobbsi
Hypsiboas hutchinsi
Hypsiboas jimenezi
Hypsiboas joaquini
Hypsiboas lanciformis
Hypsiboas latistriatus
Hypsiboas lemai
Hypsiboas leptolineatus
Hypsiboas leucocheilus
Hypsiboas liliae
Hypsiboas lundii
Hypsiboas marginatus
Hypsiboas marianitae
Hypsiboas melanopleura
Hypsiboas microderma
Hypsiboas multifasciatus
Hypsiboas nympha
Hypsiboas ornatissimus
Hypsiboas palaestes
Hypsiboas paranaiba
Hypsiboas pardalis
Hypsiboas pellucens
Hypsiboas phaeopleura
Hypsiboas picturatus
Hypsiboas poaju
Hypsiboas polytaenius
Hypsiboas pombali
Hypsiboas prasinus
Hypsiboas pugnax
Hypsiboas pulchellus
Hypsiboas pulidoi
Hypsiboas punctatus
Hypsiboas raniceps
Hypsiboas rhythmicus
Hypsiboas riojanus
Hypsiboas roraima
Hypsiboas rosenbergi
Hypsiboas rubracylus
Hypsiboas rufitelus
Hypsiboas secedens
Hypsiboas semiguttatus
Hypsiboas semilineatus
Hypsiboas sibleszi
Hypsiboas stellae
Hypsiboas stenocephalus
Hypsiboas tepuianus
Hypsiboas varelae
Hypsiboas wavrini
Isthmohyla melacaena
Myersiohyla kanaima
Osteocephalus exophthalmus
Osteocephalus inframaculatus
Osteocephalus pearsoni
Osteocephalus phasmatus
Plectrohyla ameibothalame
Plectrohyla arborescandens
Plectrohyla bistincta
Plectrohyla calthula
Plectrohyla calvicollina
Plectrohyla celata
Plectrohyla cembra
Plectrohyla charadricola
Plectrohyla chryses
Plectrohyla crassa
Plectrohyla cyanomma
Plectrohyla cyclada
Plectrohyla ephemera
Plectrohyla hazelae
Plectrohyla labedactyla
Plectrohyla miahuatlanensis
Plectrohyla mykter
Plectrohyla pachyderma
Plectrohyla pentheter
Plectrohyla psarosema
Plectrohyla robertsorum
Plectrohyla sabrina
Plectrohyla siopela
Plectrohyla thorectes
Pseudis boliviana
Pseudis caraya
Ptychohyla acrochorda
Ptychohyla erythromma
Ptychohyla legleri
Ptychohyla panchoi
Ptychohyla salvadorensis
Ptychohyla sanctaecrucis
Ptychohyla spinipollex
Scinax cruentommus
Scinax elaeochrous
Scinax lutzorum
Scinax parkeri
Scinax pinima
Scinax trilineatus
Sphaenorhynchus orophilus
Sphaenorhynchus pauloalvini
Tepuihyla celsae
Tepuihyla galani
Tepuihyla rimarum
Tepuihyla talbergae
Litoria alboguttata
Litoria australis
Litoria avocalis
Litoria brevipes
Litoria cheesmani
Litoria corbeni
Litoria cryptotis
Litoria cultripes
Litoria daymani
Litoria disrupta
Litoria fluviatilis
Litoria foricula
Litoria granti
Litoria gularis
Litoria humeralis
