,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,generalisd,legend,Shape_Length,Shape_Area,urbanareas_2021,cropland_2021,rangeland_2021,managed_pasture_2021
10902,Hyla meridionalis,1,1,1,IUCN,2020,IUCN (International Union for Conservation of Nature).,0,Extant (resident),0.3410483192581631,0.009249154995439136,0.0009269897927879355,0.3859835118055344,0.23477624356746674,0.0
10903,Hyla meridionalis,1,3,1,IUCN,2020,IUCN (International Union for Conservation of Nature).,0,Extant & Introduced (resident),0.8724863429376489,0.04372867001147424,0.0013556928606703877,0.009304888546466827,0.015238938853144646,0.0
10904,Hyla meridionalis,1,3,1,IUCN,2020,IUCN (International Union for Conservation of Nature).,0,Extant & Introduced (resident),1.4253820283435195,0.07248590502482496,0.01037023030521145,0.0,6.200693170727023e-11,0.015033273026347159
10905,Hyla meridionalis,1,3,1,IUCN,2020,IUCN (International Union for Conservation of Nature).,0,Extant & Introduced (resident),0.6020195971249342,0.0192029549842385,5.508717058357558e-14,0.003312519751489163,0.017344718798995018,0.0
10906,Hyla meridionalis,1,1,1,Philip Bowles,2020,IUCN (International Union for Conservation of Nature).,0,Extant (resident),47.341448576269386,31.14264200637993,0.008829375427437827,0.35928702523925604,0.3253199053640282,0.05808085914573055
10907,Hyloxalus maquipucuna,4,1,1,Grace Reyes-Ortega,2021,IUCN (International Union for Conservation of Nature),0,Possibly Extinct,0.1037192763165288,0.0008560387530039319,0.057818833738565445,0.07337546348571777,0.003015856957063079,0.030657626688480377
10908,Hyloxalus marmoreoventris,4,1,1,Grace Reyes-Ortega,2021,IUCN (International Union for Conservation of Nature),0,Possibly Extinct,0.10592329236343286,0.0008928072723337678,0.0015247269766405225,0.02915102429687977,1.541244770697503e-10,0.015216594561934471
10909,Kurixalus absconditus,1,1,1,Lauren Warr,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.10555084660902136,0.0008865395552187317,0.0,0.12403825670480728,0.002025399124249816,0.029970882460474968
10910,Kurixalus absconditus,1,1,1,Louise Hobin,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.10069417645148368,0.000806831130537088,0.0,0.16869616508483887,0.031623706221580505,0.0037081066984683275
10911,Kurixalus appendiculatus,6,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Presence Uncertain,1.7524072856720128,0.24437074424981226,0.002849228038110368,0.4675865006726753,0.009658480430451278,0.07966840394329237
10912,Kurixalus appendiculatus,6,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Presence Uncertain,1.974406799218351,0.25013713517628006,0.004213204884763509,0.19646222132464689,2.379852977580045e-10,0.01431163024575204
10913,Kurixalus appendiculatus,6,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Presence Uncertain,12.970179306189426,1.5087374608316366,0.002836929939203686,0.18568695152845638,0.003337009701154789,0.024776404985250487
10914,Kurixalus appendiculatus,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),1.0632095345735608,0.07319879332377233,0.008439708554873427,0.39998272096039944,4.6078851822129e-11,0.018364682295878686
10915,Kurixalus appendiculatus,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),2.9615559587539915,0.31001717330813655,0.00962757308553485,0.16698048533202153,2.48028361114192e-10,0.018984928892578044
10916,Kurixalus appendiculatus,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),0.6665798232895234,0.035357653789405696,0.010207750666484293,0.03433258383351948,2.513398755902421e-10,0.019256893139519133
10917,Kurixalus appendiculatus,6,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Presence Uncertain,3.7007458933856796,0.31397346740084503,0.0,0.008528208686856758,0.0010858124741683526,0.00039416235280319035
10918,Kurixalus appendiculatus,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),1.6824013077916786,0.16131316517265928,0.008900218052866447,0.23944124302776548,3.536246370353004e-10,0.02660500971287815
10919,Kurixalus appendiculatus,6,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Presence Uncertain,2.6987966160890524,0.3640890451569215,0.014195452225720818,0.23452372299195626,2.5696656546501304e-05,0.03643970049587784
10920,Kurixalus appendiculatus,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),1.7509666990434367,0.05374805770883921,0.0009350751172372239,0.024761677316079367,1.3760917323085831e-10,0.024056841403861755
10921,Kurixalus appendiculatus,6,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Presence Uncertain,0.6997324667961696,0.0389621722144157,0.010370015913501347,0.4932740997393501,4.46259044687053e-11,0.0028904897284568144
10922,Kurixalus appendiculatus,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),0.9457732544620966,0.05957646905209075,0.014311609314298349,0.22337195081259473,5.607651466962255e-10,0.06785659003113512
10923,Kurixalus appendiculatus,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),1.7926325132273826,0.23316440808904712,0.006005012361670996,0.2970504036425684,8.463131978603362e-10,0.0729162007856968
10924,Kurixalus appendiculatus,6,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Presence Uncertain,1.6738502860303979,0.21876435606357972,0.0,0.025478170102031836,0.00013284437170247066,0.0008631182879021437
10925,Kurixalus appendiculatus,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),1.8181022501751867,0.23588640569512093,0.012769755129259642,0.2175921300143521,6.775931805415411e-10,0.04087067456450364
10926,Kurixalus appendiculatus,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),2.9239571992300624,0.3267927864485003,0.003086879252459995,0.21511461663128284,0.00017390129187167599,0.01815270261989814
10927,Kurixalus appendiculatus,6,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Presence Uncertain,14.567703618348535,5.412303923681028,0.000908167673933467,0.10164473636237531,0.04564003252033318,0.006830575586098145
10928,Kurixalus appendiculatus,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),1.3206637500432497,0.1314399077422732,0.03701428527987634,0.1924287296560555,1.0387918240163812e-09,0.058108411176121116
10929,Kurixalus appendiculatus,6,1,1,Kelsey Neam,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Presence Uncertain,1.5459693394496272,0.14518912605654266,0.0,0.23723745661786427,0.009453334029945124,0.02941739162725174
10930,Kurixalus appendiculatus,6,1,1,Kelsey Neam,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Presence Uncertain,0.7677302180631004,0.04690350316673234,0.005257184151560068,0.5248274505138398,0.0022199840750545263,0.11703275516629219
10931,Kurixalus appendiculatus,6,1,1,Kelsey Neam,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Presence Uncertain,0.7210865670933663,0.04137735123591072,0.0036283977461912505,0.17151399392694786,0.0028474803128648828,0.026599817632640348
10932,Kurixalus appendiculatus,6,1,1,Kelsey Neam,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Presence Uncertain,1.3051860800394381,0.10490021532501402,0.0015922527879769952,0.18867050900301302,0.00027603003872773036,0.02992827153644328
10933,Kurixalus appendiculatus,1,1,1,Louise Hobin,2021,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),1.1383756843606163,0.0349495316826203,0.003587602315940052,0.0305058825091301,3.862930752957737e-10,0.023449110917943126
10934,Kurixalus chaseni,1,1,1,Louise Hobin & Lauren Warr,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),6.77652510002097,2.9017434073893855,0.026432660132813812,0.24012735710312727,0.0015155690568144026,0.00881144195836424
10935,Kurixalus chaseni,1,1,1,IUCN,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),41.63348582507275,5.267217524434808,0.003919756617527301,0.13580994654454262,0.005002102407745878,0.008799278224863465
10936,Kurixalus chaseni,1,1,1,"Kelsey Neam, Lauren Warr & Louise Hobin",2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.7835905589761866,0.048087871315369325,0.0,0.006938599050045013,0.00011278700549155474,0.0
10937,Kurixalus chaseni,1,1,1,Kelsey Neam & Lauren Warr,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),7.351913439030916,0.6207568370120073,0.0023717069988610255,0.29785329820967377,0.02207674797400336,0.03855602382723637
10938,Kurixalus chaseni,1,1,1,Louise Hobin,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.7537536557168212,0.045211281522133565,0.0,0.006738772084902281,0.0003267601857980843,0.0004546378167381386
10939,Kurixalus chaseni,1,1,1,Louise Hobin,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),6.470806856660418,0.9289286060357533,0.0019007056936944766,0.22816400121256386,0.0042832512925991845,0.04410067436946318
10940,Kurixalus chaseni,1,1,1,Louise Hobin,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),2.381832280359916,0.356607523125361,2.947283394436697e-05,0.3345178812960632,0.028918745932639583,0.06231175904678303
10941,Kurixalus chaseni,1,1,1,Louise Hobin,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),1.1068788670599812,0.09431339593371614,0.0016062554258484659,0.4926914737711968,0.013015806151635632,0.08710628282216495
10942,Kurixalus chaseni,1,1,1,Kelsey Neam & Lauren Warr,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.7546018775262979,0.04531303095947488,1.8199533527492774e-22,0.13734330609440804,0.012335972394794226,0.009064420126378536
10943,Kurixalus chaseni,1,1,1,Kelsey Neam & Lauren Warr,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.7547563324110216,0.045331552530298504,0.0,0.18578939781912335,0.012469401270612471,0.025158759787216402
10944,Leptodactylus peritoaktites,1,1,1,Kelsey Neam,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.22494828086326812,0.0031331922496794177,0.015890035778284073,0.209712952375412,0.0018088417127728462,0.03289363533258438
10945,Leptodactylus peritoaktites,1,1,1,Kelsey Neam,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.10206961785437754,0.0008290240536531944,0.015890035778284073,0.209712952375412,0.0018088417127728462,0.03289363533258438
10946,Leptodactylus peritoaktites,1,1,1,Kelsey Neam,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.4802084831409983,0.004730186790398262,0.00037291267653927207,0.20480912923812866,4.0132610592991114e-05,0.05541606619954109
10947,Leptodactylus peritoaktites,1,1,1,Kelsey Neam,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),1.3974711220539733,0.09584371922934667,0.005980952600445967,0.12474984955189038,0.0022294229417311687,0.019375057637406524
10948,Leptodactylus peritoaktites,1,1,1,Kelsey Neam,2021,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.33053986192536794,0.00869426518150249,5.291919864892415e-16,0.09751755744218826,0.000766329700127244,0.036835409700870514
