Tree_Sp_Name,Eq_0,Eq_1,Eq_2,Eq_3,Eq_4,Eq_5,Eq_6,Eq_7,Eq_8,Eq_9,Eq_10,Eq_11,Eq_12,Eq_13,Eq_14,Eq_15,Eq_16,Eq_17,Eq_18,Eq_19,Eq_20,Eq_21,Eq_22,Eq_23,Eq_24,Eq_25,Eq_26,Eq_27,Eq_28,Eq_29,Eq_30,Eq_31,Eq_32,Eq_33,Eq_34,Eq_35,Eq_36,Eq_37,Eq_38,Eq_39,Eq_40,Eq_41,Eq_42,Eq_43,Eq_44,Eq_45,Eq_46,Eq_47,Eq_48,Eq_49
Species
Discoglossus_jeanneae,Discoglossus_galganoi_jeanneae
Discoglossus_nigriventer
Allobates_alessandroi,Colostethus_alessandroi
Allobates_cepedai,Colostethus_cepedai
Allobates_picachos,Colostethus_picachos,Colostethus_picacho
Allobates_rufulus,Dendrobates_rufulus,Epipedobates_rufulus
Allobates_spumaponens,Colostethus_sumtuosus
Anomaloglossus_atopoglossus,Colostethus_atopoglossus
Anomaloglossus_confusus
Anomaloglossus_lacrimosus,Colostethus_lacrimosus
Leptopelis_barbouri,Leptopelis_johnstoni,Megalixalus_flavomaculatus,Hyperolius_flavomaculatus,Rappia_flavomaculata,Hylambates_johnstoni
Bombina_pachypus,Bombinator_pachypus
Brachycephalus_atelopoide,Brachycephalus_ephippium_atelopoide
Brachycephalus_Izecksohni
Ischnocnema_bilineata
Ischnocnema_Izecksohni
Ischnocnema_paulodutrai,Eleutherodactylus_paulodutrai
Ischnocnema_ramagii,Eleutherodactylus_ramagii,Hylodes_ramagii
Ischnocnema_vinhai,Eleutherodactylus_vinhai
Bufo_pentoni,Bufo_pentoni_pentoni,Amietophrynus_pentoni
Bufo_tihamicus,Amietophrynus_tihamicus,Bufo_pentoni_tihamicus
Adenomus_dasi,Bufo_dasi,Bufo_kandianus
Amietophrynus_asmarae,Bufo_asmarae
Amietophrynus_blanfordii,Bufo_blanfordii,Bufo_somalicus,Bufo_sibiliai,Bufo_viridis_somalacus
Amietophrynus_brauni,Bufo_brauni
Amietophrynus_buchneri,Bufo_buchneri,Bufo_decorsei
Amietophrynus_camerunensis,Bufo_camerunensis,Bufo_cameronensis_cameronensis,Bufo_camerunensis_poensis,Bufo_camerunensis_camerunensis
Amietophrynus_chudeaui,Bufo_chudeaui
Amietophrynus_cristiglans,Bufo_togoensis,Sclerophrys_cristiglans,Amietophrynus_togoensis,Bufo_christiglans,Bufo_cristiglans
Amietophrynus_danielae,Bufo_danielae
Amietophrynus_djohongensis,Bufo_funereus_djohongensis,Bufo_djohongensis
Amietophrynus_fuliginatus,Bufo_funereus_upembae,Bufo_fuliginatus,Bufo_funereus_fuliginatus
Amietophrynus_funereus,Bufo_benguellensis,Bufo_funereus,Bufo_funereus_funereus,Bufo_funereus_berghei,Bufo_berghei
Amietophrynus_garmani,Bufo_garmani,Bufo_pseudogarmani,Bufo_regularis_humbensis,Bufo_bisidanae,Bufo_garmani_pseudogarmani,Bufo_garmani_garmani
Amietophrynus_gracilipes,Bufo_funereus_gracilipes,Bufo_gracilipes,Bufo_petiti
Amietophrynus_gutturalis,Bufo_gutturalis,Bufo_regularis_gutturalis,Bufo_regularis_ngamiensis,Bufo_ngamiensis
Amietophrynus_kassasii,Bufo_kassasii
Amietophrynus_kerinyagae,Bufo_kerinyagae_kerinyagae,Bufo_kerinyagae_ethiopicae,Bufo_kerinyagae
Amietophrynus_kisoloensis,Bufo_kisoloensis,Bufo_regularis_marakwetensis,Bufo_regularis_kisoloensis
Amietophrynus_langanoensis,Bufo_langanoensis
Amietophrynus_latifrons,Bufo_latifrons,Bufo_latifrons_mayombensis,Bufo_latifrons_latifrons
Amietophrynus_lemairii,Bufo_lemairii
Amietophrynus_maculatus,Bufo_maculatus,Bufo_regularis_maculatus
Amietophrynus_mauritanicus,Bufo_mauritanicus
